time,MB,MC,MD,ME
5.008459,-14.43506,-17.2488,40.20168,95.40248
5.028459,-14.43506,-17.2488,40.20168,95.40248
5.048459,-14.43506,-17.2488,40.20168,95.40248
5.068459,-14.43506,-17.2488,40.20168,95.40248
5.088459,-14.43506,-17.2488,40.20168,95.40248
5.108459,-14.43506,-17.2488,40.20168,95.40248
5.128459,-14.43506,-17.2488,40.20168,95.40248
5.148459,-14.43506,-17.2488,40.20168,95.40248
5.168459,-14.43506,-17.2488,40.20168,95.40248
5.188459,-14.43506,-17.2488,40.20168,95.40248
5.208559,-14.43506,-17.2488,40.20168,95.40248
5.228459,-14.43506,-17.2488,40.20168,95.40248
5.248459,-14.43506,-17.2488,40.20168,95.40248
5.268459,-14.43506,-17.2488,40.20168,95.40248
5.288459,-14.43506,-17.2488,40.20168,95.40248
5.308459,-14.43506,-17.2488,40.20168,95.40248
5.328459,-14.43506,-17.2488,40.20168,95.40248
5.348459,-14.43506,-17.2488,40.20168,95.40248
5.368459,-14.43506,-17.2488,40.20168,95.40248
5.388459,-14.43506,-17.2488,40.20168,95.40248
5.408559,-14.43506,-17.2488,40.20168,95.40248
5.428459,-14.43506,-17.2488,40.20168,95.40248
5.448459,-14.43506,-17.2488,40.20168,95.40248
5.468459,-14.43506,-17.2488,40.20168,95.40248
5.488459,-14.43506,-17.2488,40.20168,95.40248
5.508459,-14.43506,-17.2488,40.20168,95.40248
5.528459,-14.43506,-17.2488,40.20168,95.40248
5.548459,-14.43506,-17.2488,40.20168,95.40248
5.568459,-14.43506,-17.2488,40.20168,95.40248
5.588459,-14.43506,-17.2488,40.20168,95.40248
5.608459,-14.43506,-17.2488,40.20168,95.40248
5.628459,-14.43506,-17.2488,40.20168,95.40248
5.648459,-14.43506,-17.2488,40.20168,95.40248
5.668459,-14.43506,-17.2488,40.20168,95.40248
5.688459,-14.43506,-17.2488,40.20168,95.40248
5.708459,-14.43506,-17.2488,40.20168,95.40248
5.728459,-14.43506,-17.2488,40.20168,95.40248
5.748459,-14.43506,-17.2488,40.20168,95.40248
5.768459,-14.43506,-17.2488,40.20168,95.40248
5.788459,-14.43506,-17.2488,40.20168,95.40248
5.808459,-14.43506,-17.2488,40.20168,95.40248
5.828459,-14.43506,-17.2488,40.20168,95.40248
5.848559,-14.43506,-17.2488,40.20168,95.40248
5.868459,-14.43506,-17.2488,40.20168,95.40248
5.888459,-14.43506,-17.2488,40.20168,95.40248
5.908459,-14.43506,-17.2488,40.20168,95.40248
5.928459,-14.43506,-17.2488,40.20168,95.40248
5.948459,-14.43506,-17.2488,40.20168,95.40248
5.968459,-14.43506,-17.2488,40.20168,95.40248
5.988459,-14.43506,-17.2488,40.20168,95.40248
6.008459,-14.43506,-17.2488,40.20168,95.40248
6.028459,-14.43506,-17.2488,40.20168,95.40248
6.048459,-14.41218,-17.2256,40.1788,95.31848
6.068459,-14.20634,-16.9896,39.77464,94.14488
6.088459,-14.07666,-16.8368,39.37048,93.27528
6.108459,-13.92418,-16.6768,39.01976,92.36008
6.128459,-13.7717,-16.4864,38.58504,91.34568
6.148459,-13.62682,-16.3256,38.21904,90.46888
6.168459,-13.47426,-16.1352,37.80728,89.47048
6.188459,-13.32938,-15.9672,37.4184,88.55528
6.208459,-13.1769,-15.792,37.02944,87.60168
6.228459,-13.03202,-15.6168,36.62536,86.64088
6.248459,-12.87946,-15.4488,36.2364,85.70328
6.268459,-12.73458,-15.2584,35.83992,84.74968
6.288459,-12.5745,-15.0904,35.43576,83.79688
6.308459,-12.43722,-14.9232,35.0392,82.85128
6.328459,-12.28466,-14.732,34.64272,81.89768
6.348459,-12.13978,-14.5568,34.23856,80.95208
6.368459,-11.9797,-14.3736,33.8496,79.99928
6.388459,-11.83482,-14.2064,33.45312,79.04568
6.408459,-11.68994,-14.0456,33.05656,78.10008
6.428459,-11.52978,-13.848,32.6524,77.15528
6.448459,-11.4001,-13.68,32.26352,76.19448
6.468459,-11.23234,-13.4896,31.85936,75.24088
6.488459,-11.09514,-13.3064,31.46288,74.29528
6.508559,-10.93498,-13.1464,31.07392,73.34248
6.528459,-10.7977,-12.9632,30.66976,72.38888
6.548459,-10.63762,-12.788,30.27328,71.44328
6.568459,-10.49266,-12.62,29.87672,70.49768
6.588459,-10.34778,-12.4144,29.48024,69.53688
6.608459,-10.1953,-12.2464,29.08368,68.58408
6.628459,-10.05042,-12.0784,28.67952,67.63848
6.648459,-9.89794,-11.8952,28.29064,66.68488
6.668459,-9.75306,-11.728,27.88648,65.73208
6.688459,-9.5929,-11.5368,27.49,64.78648
6.708459,-9.45562,-11.3616,27.09344,63.83288
6.728459,-9.30314,-11.1864,26.69688,62.88008
6.748459,-9.15058,-10.996,26.3004,61.92648
6.768459,-9.0057,-10.828,25.90384,60.98088
6.788459,-8.86082,-10.6448,25.49968,60.0204
6.808459,-8.693076,-10.4696,25.1032,59.0672
6.828459,-8.55582,-10.3016,24.71424,58.12928
6.848459,-8.410932,-10.1112,24.31016,57.16848
6.868459,-8.243172,-9.936,23.9136,56.22288
6.888459,-8.105916,-9.768,23.51704,55.26968
6.908459,-7.94578,-9.5776,23.12056,54.30888
6.928559,-7.816148,-9.4248,22.724,53.37096
6.948459,-7.656012,-9.2344,22.32752,52.41776
6.968459,-7.511124,-9.0512,21.92336,51.46456
6.988459,-7.358612,-8.876,21.5268,50.51136
7.008459,-7.198476,-8.6928,21.13032,49.55816
7.028459,-7.06122,-8.5248,20.73376,48.61264
7.048459,-6.908708,-8.3496,20.3372,47.65944
7.068459,-6.763828,-8.1664,19.93312,46.69864
7.088459,-6.61894,-7.9992,19.54416,45.76072
7.108459,-6.466428,-7.816,19.14,44.79984
7.128459,-6.313924,-7.6408,18.74352,43.85432
7.148459,-6.169036,-7.4728,18.34696,42.90112
7.168459,-6.024148,-7.2896,17.95048,41.94792
7.188459,-5.871644,-7.1216,17.54632,41.0024
7.208459,-5.726756,-6.9392,17.15736,40.04152
7.228459,-5.56662,-6.756,16.75328,39.0884
7.248459,-5.42174,-6.588,16.36432,38.1428
7.268459,-5.269228,-6.4128,15.96016,37.1896
7.288459,-5.131964,-6.2296,15.56368,36.2364
7.308459,-4.971828,-6.0624,15.16712,35.28328
7.328459,-4.834572,-5.8792,14.76296,34.33768
7.348459,-4.68206,-5.704,14.36648,33.37688
7.368459,-4.53718,-5.528,13.96992,32.43128
7.388459,-4.377044,-5.3456,13.57344,31.47808
7.408459,-4.23978,-5.1848,13.17688,30.52496
7.428459,-4.087276,-4.9944,12.78032,29.57936
7.448459,-3.934764,-4.8192,12.38384,28.63376
7.468459,-3.805132,-4.6592,11.97968,27.66536
7.488459,-3.62974,-4.468,11.58312,26.72744
7.508459,-3.492484,-4.2928,11.18664,25.76664
7.528459,-3.339972,-4.1176,10.79008,24.82104
7.548459,-3.195084,-3.9344,10.3936,23.86784
7.568459,-3.04258,-3.7664,9.98944,22.91464
7.588459,-2.897692,-3.5912,9.59288,21.96144
7.608459,-2.760436,-3.408,9.1964,21.00832
7.628459,-2.607924,-3.2408,8.79984,20.06272
7.648459,-2.455412,-3.0576,8.40328,19.10192
7.668459,-2.295276,-2.8824,8.0068,18.164
7.688459,-2.165644,-2.7144,7.61024,17.2032
7.708459,-2.005508,-2.5312,7.20608,16.25
7.728459,-1.868252,-2.356,6.8096,15.3044
7.748459,-1.708116,-2.1808,6.41304,14.3436
7.768459,-1.563228,-1.9976,6.01656,13.398
7.788459,-1.410719,-1.8224,5.62,12.45248
7.808459,-1.265834,-1.6472,5.22352,11.49168
7.828459,-1.128575,-1.464,4.81936,10.53848
7.848459,-0.96844,-1.296,4.4228,9.59288
7.868459,-0.831181,-1.1208,4.02624,8.63968
7.888459,-0.686296,-0.9376,3.62216,7.69416
7.908459,-0.549037,-0.7696,3.2332,6.73336
7.928459,-0.388901,-0.5872,2.82904,5.78016
7.948459,-0.251642,-0.4192,2.43256,4.83456
7.968459,-0.099132,-0.244,2.036,3.88904
7.988459,0.038127,-0.0528,1.63952,2.92056
8.008459,0.183012,0.1072,1.24296,1.98264
8.028459,0.343148,0.2904,0.8464,1.02184
8.048459,0.457532,0.4424,0.48808,0.19832
8.068459,0.434652,0.3664,0.67864,0.7168
8.088459,0.434652,0.3968,0.61768,0.52616
8.108459,0.434652,0.3888,0.61008,0.54144
8.128459,0.434652,0.3888,0.63296,0.5948
8.148459,0.434652,0.3888,0.61768,0.53384
8.168459,0.434652,0.3888,0.62528,0.57192
8.188459,0.434652,0.3888,0.62528,0.55664
8.257059,0.434652,0.3888,0.62528,0.55664
8.277059,0.434652,0.3888,0.62528,0.55664
8.297059,0.434652,0.3888,0.62528,0.55664
8.317059,0.434652,0.3888,0.62528,0.55664
8.337059,0.434652,0.3888,0.62528,0.55664
8.357059,0.434652,0.3888,0.62528,0.55664
8.377059,0.434652,0.3888,0.62528,0.55664
8.397059,0.434652,0.3888,0.62528,0.55664
8.417059,0.434652,0.3888,0.62528,0.55664
8.437059,0.434652,0.3888,0.62528,0.55664
8.457059,0.434652,0.3888,0.62528,0.55664
8.477059,0.434652,0.3888,0.62528,0.55664
8.497059,0.434652,0.3888,0.62528,0.55664
8.517059,0.434652,0.3888,0.62528,0.55664
8.537059,0.434652,0.3888,0.62528,0.55664
8.557059,0.434652,0.3888,0.62528,0.55664
8.577059,0.434652,0.3888,0.62528,0.55664
8.597059,0.434652,0.3888,0.62528,0.55664
8.617059,0.434652,0.3888,0.62528,0.55664
8.637059,0.434652,0.3888,0.62528,0.55664
8.657059,0.434652,0.3888,0.62528,0.55664
8.677059,0.434652,0.3888,0.62528,0.55664
8.697059,0.434652,0.3888,0.62528,0.55664
8.717059,0.434652,0.3888,0.62528,0.55664
