time,MA,MC,MD
6.391601,0.055243,7.651121,0.027621
6.411601,0.069053,7.664931,0.055243
6.431601,0.069053,7.651121,0.027621
6.451601,0.069053,7.623491,0.027621
6.471601,0.055243,7.595871,0.041432
6.491601,0.055243,7.651121,0.055243
6.511601,0.069053,7.637301,0.041432
6.531601,0.069053,7.637301,0.027621
6.551601,0.069053,7.609681,0.041432
6.571601,0.069053,7.609681,0.027621
6.591601,0.055243,7.609681,0.027621
6.611601,0.069053,7.609681,0.041432
6.631601,0.069053,7.595871,0.041432
6.651601,0.055243,7.637301,0.027621
6.671601,0.041432,7.623491,0.041432
6.691601,0.069053,7.595871,0.055243
6.711601,0.082864,7.595871,0.041432
6.731601,0.055243,7.595871,0.013811
6.751601,0.041432,7.609681,0.055243
6.771601,0.055243,7.568251,0.041432
6.791601,0.055243,7.554441,0.041432
6.811601,0.055243,7.540631,0.041432
6.831601,0.055243,7.554441,0.041432
6.851601,0.041432,7.540631,0.041432
6.871601,0.069053,7.457771,0.041432
6.891601,0.041432,7.443961,0.027621
6.911601,0.055243,7.416331,0.027621
6.931601,0.069053,7.457771,0.041432
6.951601,0.055243,7.388711,0.041432
6.971601,0.069053,7.374901,0.041432
6.991601,0.069053,7.402521,0.027621
7.011601,0.055243,7.361091,0.013811
7.031601,0.069053,7.388711,0.041432
7.051601,0.055243,7.361091,0.055243
7.071601,0.055243,7.388711,0.027621
7.091601,0.069053,7.319661,0.027621
7.111601,0.055243,7.388711,0.041432
7.131601,0.055243,7.374901,0.027621
7.151601,0.055243,7.361091,0.041432
7.171601,0.041432,7.374901,0.027621
7.191601,0.055243,7.388711,0.055243
7.211601,0.055243,7.333471,0.041432
7.231601,0.027621,7.333471,0.027621
7.251601,0.055243,7.333471,0.027621
7.271601,0.055243,7.361091,0.041432
7.291601,0.055243,7.361091,0.055243
7.311601,0.055243,7.361091,0.041432
7.331601,0.055243,7.333471,0.055243
7.351601,0.055243,7.361091,0.041432
7.371601,0.055243,7.333471,0.041432
7.391601,0.082864,7.319661,0.027621
