time,MD,MF
6.299992,24.2184,67.4936
6.319992,24.2184,67.4936
6.339992,24.2184,67.4936
6.359992,24.2184,67.4936
6.379992,24.2184,67.4936
6.399992,24.2184,67.4936
6.419992,24.2184,67.4936
6.439992,24.2184,67.4936
6.459992,24.2184,67.4936
6.479992,24.2184,67.4936
6.499992,24.2184,67.4936
6.519992,24.2184,67.4936
6.539992,24.2184,67.4936
6.559992,24.2184,67.4936
6.579992,24.2184,67.4936
6.599992,24.2184,67.4936
6.619992,24.2184,67.4936
6.639992,24.2184,67.4936
6.659992,24.2184,67.4936
6.679992,24.2184,67.4936
6.699992,24.2184,67.4936
6.719992,24.2184,67.4936
6.739992,24.2184,67.4936
6.759992,24.2184,67.4936
6.779992,24.2184,67.4936
6.799992,24.2184,67.4936
6.819992,24.2184,67.4936
6.839992,24.2184,67.4936
6.859992,24.2184,67.4936
6.879992,24.2184,67.4936
6.899992,24.2184,67.4936
6.919992,24.2184,67.4936
6.939992,24.2184,67.4936
6.959992,24.2184,67.4936
6.979992,24.2184,67.4936
6.999992,24.2184,67.4936
7.019992,24.2184,67.4936
7.039992,24.2184,67.4936
7.060092,24.2184,67.4936
7.079992,24.2184,67.4936
7.099992,24.2184,67.4936
7.119992,24.2184,67.4936
7.139992,24.2184,67.4936
7.159992,24.2184,67.4936
7.179992,24.2184,67.4936
7.199992,24.2184,67.4936
7.219992,24.2184,67.4936
7.239992,24.2184,67.4936
7.259992,24.2184,67.4936
7.279992,24.2184,67.4936
7.299992,24.2184,67.4936
7.319992,24.2184,67.4936
7.339992,24.2184,67.4936
7.359992,24.2184,67.4936
7.379992,24.2184,67.4936
7.399992,24.2184,67.4936
7.419992,24.2184,67.4936
7.439992,24.2184,67.4936
7.459992,24.2184,67.4936
7.479992,24.2184,67.4936
7.499992,24.2184,67.4936
7.519992,24.2184,67.4936
7.539992,24.2184,67.4936
7.559992,24.2184,67.4936
7.579992,24.2184,67.4936
7.600092,24.2184,67.4936
7.619992,24.2184,67.4936
7.639992,24.2184,67.4936
7.659992,24.2184,67.4936
7.679992,24.2184,67.4856
7.699992,24.188,67.1656
7.719992,24.0512,66.7992
7.739992,23.952,66.5248
7.759992,23.8448,66.1512
7.779992,23.7152,65.8464
7.799992,23.6008,65.5032
7.819992,23.4864,65.1752
7.839992,23.3648,64.8472
7.859992,23.2576,64.504
7.879992,23.128,64.176
7.899992,23.0216,63.8408
7.919992,22.8992,63.5056
7.939992,22.7928,63.1776
7.959992,22.6632,62.8344
7.979992,22.5408,62.5064
7.999992,22.4344,62.1704
8.019992,22.312,61.8432
8.039992,22.1904,61.5072
8.059992,22.0832,61.172
8.079992,21.9464,60.844
8.099992,21.8472,60.5088
8.119992,21.7176,60.1656
8.139992,21.6032,59.8448
8.159992,21.4808,59.50184
8.179992,21.3664,59.16632
8.199992,21.2448,58.8384
8.219992,21.1224,58.50288
8.239992,21.008,58.16736
8.259992,20.8936,57.83184
8.280092,20.764,57.49632
8.299992,20.6496,57.16848
8.319992,20.5352,56.83296
8.339992,20.4208,56.49744
8.359992,20.2992,56.16192
8.379992,20.1768,55.834
8.399992,20.0552,55.49848
8.419992,19.9408,55.16296
8.439992,19.8184,54.82744
8.459992,19.6968,54.49192
8.479992,19.5824,54.164
8.499992,19.4752,53.82848
8.519992,19.3456,53.48536
8.539992,19.2312,53.16504
8.559992,19.1096,52.82952
8.579992,18.9872,52.494
8.599992,18.8728,52.15848
8.619992,18.7512,51.82296
8.639992,18.6288,51.48744
8.659992,18.5224,51.15952
8.679992,18.3928,50.8164
8.699992,18.2784,50.48848
8.719992,18.156,50.15296
8.739992,18.0416,49.81744
8.759992,17.92,49.4896
8.779992,17.7976,49.15408
8.799992,17.6832,48.81856
8.819992,17.5688,48.49064
8.839992,17.4472,48.14744
8.859992,17.3248,47.81192
8.879992,17.2104,47.48408
8.899992,17.096,47.14856
8.919992,16.9744,46.80536
8.939992,16.852,46.48512
8.959992,16.7376,46.142
8.979992,16.616,45.80648
8.999992,16.5016,45.47856
9.019992,16.372,45.14304
9.039992,16.2576,44.80752
9.059992,16.1504,44.4796
9.079992,16.0208,44.14408
9.099992,15.8992,43.80856
9.119992,15.7848,43.47304
9.139992,15.6704,43.13752
9.159992,15.548,42.802
9.179992,15.4264,42.47408
9.199992,15.312,42.13096
9.219992,15.1976,41.80304
9.239992,15.068,41.46752
9.259992,14.9536,41.132
9.279992,14.8312,40.80408
9.299992,14.7168,40.46856
9.319992,14.5952,40.13304
9.339992,14.4728,39.79752
9.359992,14.3584,39.462
9.379992,14.2448,39.12648
9.399992,14.1224,38.79864
9.419992,14.0,38.46312
9.439992,13.8784,38.11992
9.459992,13.772,37.792
9.479992,13.6416,37.45648
9.499992,13.52,37.12096
9.519992,13.4136,36.79312
9.539992,13.2912,36.4576
9.559992,13.1696,36.12208
9.579992,13.0472,35.78656
9.599992,12.9328,35.45104
9.619992,12.8184,35.12312
9.639992,12.6968,34.7876
9.659992,12.5744,34.4444
9.679992,12.46,34.11656
