time,MA,MC,MD,MF
0.876947,0.662913,0.455752,-0.082864,0.345267
0.896947,0.662913,0.441941,-0.055243,0.359078
0.916947,0.731966,0.469563,-0.055243,0.40051
0.936947,0.676724,0.538616,-0.069053,0.303835
0.956947,0.759588,0.469563,-0.027621,0.41432
0.976947,0.80102,0.538616,-0.069053,0.386699
0.996947,0.731966,0.552427,-0.055243,0.386699
1.016947,0.81483,0.524805,-0.041432,0.386699
1.036947,0.911505,0.60767,-0.096675,0.386699
1.056947,1.008179,0.566238,-0.027621,0.455752
1.076947,1.187719,0.60767,-0.055243,0.40051
1.096947,1.187719,0.566238,-0.069053,0.386699
1.116947,1.215339,0.60767,-0.055243,0.455752
1.136947,1.242959,0.62148,-0.096675,0.441942
1.156947,1.325829,0.635291,-0.055243,0.441942
1.176947,1.270579,0.635291,-0.082864,0.455752
1.196947,1.229149,0.676723,-0.055243,0.386699
1.216947,1.270579,0.60767,-0.096675,0.441942
1.236947,1.367259,0.593859,-0.096675,0.441942
1.256947,1.229149,0.676723,-0.069053,0.40051
1.276947,1.173909,0.60767,-0.082864,0.428131
1.296947,1.450119,0.676723,-0.096675,0.428131
1.316947,1.408689,0.731966,-0.096675,0.372888
1.336947,1.381069,0.676723,-0.096675,0.428131
1.356947,1.381069,0.773398,-0.096675,0.441942
1.376947,1.505369,0.745776,-0.082864,0.386699
1.396947,1.643469,0.759587,-0.069053,0.483374
1.416947,1.615849,0.759587,-0.069053,0.41432
1.436947,1.643469,0.745776,-0.069053,0.441942
1.456947,1.588229,0.787208,-0.082864,0.455752
1.476947,1.671089,0.82864,-0.082864,0.40051
1.496947,1.767769,0.81483,-0.082864,0.40051
1.516947,1.643469,0.842451,-0.069053,0.41432
1.536947,1.505369,0.787208,-0.069053,0.41432
1.556947,1.671089,0.81483,-0.082864,0.41432
1.576947,1.781579,0.81483,-0.096675,0.41432
1.596947,1.864439,0.842451,-0.096675,0.455752
1.616947,1.767769,0.81483,-0.082864,0.428131
1.636947,1.823009,0.883883,-0.055243,0.428131
1.656947,1.988739,0.925315,-0.041432,0.441942
1.676947,2.030169,1.021989,-0.055243,0.386699
1.696947,1.905879,0.911505,-0.013811,0.469563
1.716947,2.099219,0.939126,-0.069053,0.428131
1.736947,2.030169,0.980558,-0.041432,0.469563
1.756947,1.919689,1.035799,-0.027621,0.41432
1.776947,2.209709,0.911505,-0.041432,0.359078
1.796947,2.085409,1.008179,-0.027621,0.483374
1.816947,1.988739,1.077229,-0.055243,0.386699
1.836947,2.264949,0.966747,-0.069053,0.40051
1.856947,2.278759,1.049609,-0.027621,0.441942
1.876947,2.416869,0.939126,-0.041432,0.40051
1.896947,2.416869,1.077229,-0.041432,0.483374
1.916947,2.582599,1.035799,-0.041432,0.372888
1.936947,2.844999,1.049609,-0.041432,0.359078
1.956947,2.706889,1.021989,-0.041432,0.497184
