time,MA,MC,MD
4.751601,-54.042,84.55888,-0.03056
4.771601,-54.46896,85.20768,-0.03816
4.791601,-54.90368,85.82528,-0.04576
4.811601,-55.33072,86.50368,-0.04576
4.831601,-55.76536,87.02208,-0.05344
4.851601,-56.1924,87.76928,-0.05344
4.871601,-56.61936,88.31888,-0.06104
4.891601,-57.06168,89.13488,-0.06104
4.911601,-57.48872,89.72928,-0.06864
4.931601,-57.92336,90.28608,-0.06864
4.951601,-58.358,91.03328,-0.07632
4.971601,-58.78504,91.52128,-0.07632
4.991601,-59.21968,92.31408,-0.08392
5.011601,-59.64672,92.86368,-0.08392
5.031601,-60.07376,93.55728,-0.09152
5.051601,-60.516,94.12928,-0.09152
5.071601,-60.94304,94.87648,-0.09912
5.091601,-61.37768,95.45648,-0.09912
5.111601,-61.8124,96.12688,-0.1068
5.131601,-62.23176,96.72928,-0.1068
5.151601,-62.67408,97.37808,-0.1144
5.171601,-63.09344,97.96528,-0.1144
5.191601,-63.52808,98.60528,-0.122
5.211601,-63.96272,99.31488,-0.122
5.231601,-64.39744,99.96288,-0.12968
5.251601,-64.83208,100.60368,-0.12968
5.271601,-65.25912,101.21328,-0.13728
5.291601,-65.69376,101.80048,-0.13728
5.311601,-66.1208,102.51008,-0.14488
5.331601,-66.55544,103.18848,-0.14488
5.351601,-66.98248,104.00448,-0.15256
5.371601,-67.41712,104.59168,-0.15256
5.391601,-67.85176,105.15568,-0.16016
5.411601,-68.2788,105.80368,-0.16016
5.431601,-68.71344,106.33008,-0.16776
5.451601,-69.14808,107.09248,-0.16776
5.471601,-69.56752,107.65728,-0.16776
5.491601,-70.00976,108.36608,-0.17544
5.511601,-70.4368,108.92288,-0.17544
5.531601,-70.86384,109.57888,-0.18304
5.551601,-71.30616,110.11968,-0.18304
5.571601,-71.72552,110.81408,-0.19064
5.591601,-72.16784,111.44688,-0.19832
5.611601,-72.60248,112.07248,-0.19832
5.631601,-73.02184,112.74288,-0.19832
5.651601,-73.46416,113.23888,-0.20592
5.671601,-73.88352,114.00928,-0.20592
5.691601,-74.31816,114.57328,-0.21352
5.711601,-74.75288,115.26688,-0.21352
5.731601,-75.17984,115.82368,-0.2212
5.751601,-75.61456,116.51008,-0.2288
5.771601,-76.0492,117.09008,-0.2288
5.791601,-76.47624,117.69968,-0.2288
5.811601,-76.91848,118.37088,-0.2364
5.831601,-77.33792,118.92768,-0.24408
5.851601,-77.77256,119.62128,-0.24408
5.871601,-78.2072,120.13248,-0.25168
5.891601,-78.63424,120.86448,-0.25168
5.911601,-79.06888,121.36768,-0.25928
5.931601,-79.49592,122.16848,-0.25928
5.951601,-79.93056,122.71008,-0.26688
5.971601,-80.3652,123.39568,-0.26688
5.991601,-80.79224,123.94528,-0.27456
6.011601,-81.21928,124.63168,-0.27456
6.031601,-81.6616,125.30208,-0.28216
6.051601,-82.08096,125.89728,-0.28216
6.071601,-82.52328,126.53808,-0.28976
6.091601,-82.95024,127.06368,-0.28976
6.111601,-83.37728,127.76528,-0.29744
6.131601,-83.81192,128.38288,-0.29744
6.151601,-83.72808,128.48208,-0.30504
6.171601,-83.7052,128.48208,-0.30504
6.191601,-83.74336,128.48208,-0.30504
6.211601,-83.72048,128.48208,-0.30504
6.231601,-83.72808,128.48208,-0.30504
6.251601,-83.72808,128.48208,-0.30504
6.271601,-83.72808,128.48208,-0.30504
6.291601,-83.72808,128.49008,-0.30504
6.311601,-83.72808,128.49008,-0.30504
6.331601,-83.72808,128.49008,-0.30504
6.351601,-83.72808,128.49008,-0.30504
6.371601,-83.72808,128.49008,-0.30504
6.391601,-83.72808,128.49008,-0.30504
6.411601,-83.72808,128.49008,-0.30504
6.431601,-83.72808,128.49008,-0.30504
6.451601,-83.72808,128.49008,-0.30504
6.471601,-83.72808,128.49008,-0.30504
6.491601,-83.72808,128.49008,-0.30504
6.511601,-83.72808,128.49008,-0.30504
6.531601,-83.72808,128.49008,-0.30504
6.551601,-83.72808,128.49008,-0.30504
6.571601,-83.72808,128.49728,-0.30504
6.591601,-83.72808,128.49728,-0.30504
6.611601,-83.72808,128.49728,-0.30504
6.631601,-83.72808,128.49728,-0.30504
6.651601,-83.72808,128.49728,-0.30504
6.671601,-83.72808,128.49728,-0.30504
6.691601,-83.72808,128.49728,-0.30504
6.711601,-83.72808,128.49728,-0.30504
6.731601,-83.72048,128.50528,-0.30504
6.751601,-83.72048,128.51248,-0.30504
6.771601,-83.72048,128.51248,-0.30504
6.791601,-83.72048,128.51248,-0.30504
6.811601,-83.72048,128.51248,-0.30504
6.831601,-83.72048,128.52048,-0.30504
6.851601,-83.72048,128.52048,-0.30504
6.871601,-83.72048,128.52768,-0.30504
6.891601,-83.72048,128.53568,-0.30504
6.911601,-83.72808,128.55088,-0.30504
6.931601,-83.72048,128.55808,-0.30504
6.951601,-83.72048,128.55808,-0.30504
6.971601,-83.72048,128.55808,-0.30504
6.991601,-83.72048,128.55808,-0.30504
7.011601,-83.72048,128.56608,-0.30504
7.031601,-83.72048,128.56608,-0.30504
7.051601,-83.72048,128.56608,-0.30504
7.071601,-83.72048,128.56608,-0.30504
7.091601,-83.72048,128.56608,-0.30504
7.111601,-83.72048,128.56608,-0.30504
7.131601,-83.72048,128.56608,-0.30504
7.151601,-83.72048,128.56608,-0.30504
7.171601,-83.72048,128.56608,-0.30504
7.191601,-83.72048,128.56608,-0.30504
7.211601,-83.72048,128.56608,-0.30504
7.231601,-83.72048,128.56608,-0.30504
7.251601,-83.72048,128.56608,-0.30504
7.271601,-83.72048,128.56608,-0.30504
7.291601,-83.72048,128.56608,-0.30504
7.311601,-83.72048,128.56608,-0.30504
7.331601,-83.72048,128.56608,-0.30504
7.351601,-83.72048,128.57408,-0.30504
7.371601,-83.72048,128.57408,-0.30504
7.391601,-83.72048,128.57408,-0.30504
7.411601,-83.72048,128.57408,-0.30504
7.431601,-83.72048,128.57408,-0.30504
7.451601,-83.72048,128.57408,-0.30504
7.471601,-83.72048,128.57408,-0.30504
7.491601,-83.72048,128.57408,-0.30504
7.511601,-83.72048,128.57408,-0.30504
