time,MA,MC,MD,MF
3.156947,121.94,10.78248,-58.06056,39.1188
3.176947,122.916,10.81296,-58.54096,39.43144
3.196947,123.8232,10.91968,-59.01376,39.74424
3.216947,124.7616,10.996,-59.478936,40.04184
3.236947,125.676,11.03408,-59.951712,40.35384
3.256947,126.5992,11.1256,-60.424496,40.66664
3.276947,127.5824,11.19424,-60.89728,40.97144
3.296947,128.4752,11.26288,-61.370056,41.27704
3.316947,129.3824,11.32384,-61.835216,41.58184
3.336947,130.2896,11.38488,-62.308,41.89464
3.356947,131.22,11.49928,-62.780776,42.18424
3.376947,132.196,11.57552,-63.25356,42.48184
3.396947,133.1264,11.6136,-63.726344,42.79464
3.416947,134.0416,11.69752,-64.19912,43.11464
3.436947,134.972,11.78136,-64.66428,43.41224
3.456947,135.9248,11.8424,-65.137064,43.71704
3.476947,136.8632,11.94152,-65.60984,44.03704
3.496947,137.664,11.98728,-66.082624,44.33464
3.516947,138.6776,12.06352,-66.555408,44.63944
3.536947,139.6312,12.12456,-67.028186,44.94504
3.556947,140.5232,12.1932,-67.493342,45.25704
3.576947,141.408,12.25416,-67.943247,45.56264
3.596947,142.376,12.30752,-68.423656,45.85224
3.616947,143.352,12.37616,-68.89644,46.16504
3.636947,144.2672,12.47528,-69.361592,46.47784
3.656947,145.2736,12.5592,-69.842,46.77464
3.676947,146.1432,12.58968,-70.269024,47.05704
3.696947,146.1512,12.59736,-70.070768,46.99624
3.716947,146.1512,12.59736,-70.11652,47.00344
3.736947,146.1512,12.59736,-70.131768,47.00344
3.756947,146.1512,12.59736,-70.108888,47.00344
3.776947,146.1512,12.59736,-70.11652,47.00344
3.796947,146.1512,12.59736,-70.11652,47.00344
3.816947,146.1512,12.60496,-70.11652,47.00344
3.836947,146.1512,12.60496,-70.11652,47.00344
3.856947,146.1512,12.60496,-70.11652,47.00344
3.876947,146.1512,12.60496,-70.11652,47.00344
3.896947,146.1512,12.60496,-70.11652,47.00344
3.916947,146.1512,12.60496,-70.11652,47.00344
3.936947,146.1512,12.60496,-70.11652,47.00344
3.956947,146.1512,12.60496,-70.11652,47.00344
3.976947,146.1512,12.60496,-70.11652,47.00344
3.996947,146.1512,12.60496,-70.11652,47.00344
4.016947,146.1512,12.60496,-70.11652,47.00344
4.036947,146.1512,12.60496,-70.11652,47.00344
4.056947,146.1512,12.60496,-70.11652,47.00344
4.076947,146.1512,12.60496,-70.11652,47.00344
4.096947,146.1512,12.60496,-70.11652,47.00344
4.116947,146.1512,12.60496,-70.11652,47.00344
4.136947,146.1512,12.60496,-70.11652,47.00344
4.156947,146.1512,12.60496,-70.11652,47.00344
4.176947,146.1512,12.60496,-70.11652,47.00344
4.196947,146.1512,12.60496,-70.11652,47.00344
4.216947,146.1512,12.60496,-70.11652,47.00344
4.236947,146.1512,12.60496,-70.11652,47.00344
4.256947,146.1512,12.60496,-70.11652,47.00344
4.276947,146.1512,12.60496,-70.11652,47.00344
4.296947,146.1512,12.60496,-70.11652,47.00344
4.316947,146.1512,12.60496,-70.11652,47.00344
4.336947,146.1512,12.60496,-70.11652,47.00344
4.356947,146.1512,12.60496,-70.11652,47.00344
4.376947,146.1512,12.60496,-70.11652,47.00344
4.396947,146.1512,12.60496,-70.11652,47.00344
4.416947,146.1512,12.60496,-70.11652,47.00344
4.436947,146.1512,12.60496,-70.11652,47.00344
4.456947,146.1512,12.60496,-70.11652,47.00344
4.476947,146.1512,12.60496,-70.11652,47.00344
4.496947,146.1512,12.61256,-70.11652,47.00344
4.516947,146.1512,12.61256,-70.11652,47.00344
4.536947,146.1512,12.61256,-70.11652,47.00344
4.556947,146.1512,12.61256,-70.11652,47.00344
