time,MD,MF
7.019992,0.621481,0.718155
7.039992,0.621481,0.704344
7.060092,0.60767,0.690534
7.079992,0.635292,0.718155
7.099992,0.621481,0.704344
7.119992,0.635292,0.704344
7.139992,0.635292,0.704344
7.159992,0.635292,0.718155
7.179992,0.621481,0.759587
7.199992,0.635292,0.704344
7.219992,0.635292,0.704344
7.239992,0.60767,0.704344
7.259992,0.621481,0.718155
7.279992,0.621481,0.676723
7.299992,0.621481,0.704344
7.319992,0.635292,0.718155
7.339992,0.635292,0.718155
7.359992,0.621481,0.690534
7.379992,0.621481,0.704344
7.399992,0.621481,0.704344
7.419992,0.60767,0.690534
7.439992,0.621481,0.718155
7.459992,0.621481,0.718155
7.479992,0.60767,0.718155
7.499992,0.621481,0.704344
7.519992,0.635292,0.718155
7.539992,0.621481,0.704344
7.559992,0.621481,0.704344
7.579992,0.635292,0.690534
7.600092,0.649102,0.690534
7.619992,0.635292,0.704344
7.639992,0.649102,0.731966
7.659992,0.621481,0.731966
7.679992,0.345267,-0.069053
7.699992,0.110486,0.262403
7.719992,0.234782,0.248592
7.739992,0.151918,0.082864
7.759992,0.124296,0.20716
7.779992,0.138107,0.110485
7.799992,0.138107,0.124296
7.819992,0.124296,0.110485
7.839992,0.096675,0.069053
7.859992,0.055243,0.151917
7.879992,0.138107,0.055243
7.899992,0.041432,0.110485
7.919992,0.096675,0.110485
7.939992,0.041432,0.041432
7.959992,0.082864,0.082864
7.979992,0.069053,0.096674
7.999992,0.027621,0.055243
8.019992,0.041432,0.082864
8.039992,0.096675,0.069053
8.059992,0.013811,0.096674
8.079992,0.096675,0.041432
8.099992,0.013811,0.013811
8.119992,0.110486,0.082864
8.139992,0.027621,0.013811
8.159992,0.082864,0.069053
8.179992,0.041432,0.055243
8.199992,0.069053,0.027621
8.219992,0.041432,0.069053
8.239992,0.069053,0.055243
8.259992,0.013811,0.027621
8.280092,0.069053,0.013811
8.299992,0.055243,0.041432
8.319992,0.041432,0.082864
8.339992,0.027621,0.027621
8.359992,0.055243,0.041432
8.379992,0.069053,0.041432
8.399992,0.013811,0.013811
8.419992,0.013811,0.027621
8.439992,0.041432,0.013811
8.459992,0.041432,0.055243
8.479992,0.027621,0.0
8.499992,-0.027621,0.027621
8.519992,0.069053,0.027621
8.539992,0.013811,-0.041432
8.559992,0.055243,0.013811
8.579992,0.013811,0.0
8.599992,0.027621,-0.013811
8.619992,0.055243,0.013811
8.639992,0.027621,0.0
8.659992,-0.013811,0.027621
8.679992,0.069053,0.0
8.699992,0.041432,0.027621
8.719992,0.041432,0.013811
8.739992,0.013811,0.013811
8.759992,0.027621,-0.013811
8.779992,0.055243,0.0
8.799992,0.013811,0.0
8.819992,0.0,0.0
8.839992,0.013811,-0.013811
8.859992,0.0,-0.013811
8.879992,-0.013811,-0.013811
8.899992,0.0,0.0
8.919992,0.027621,0.027621
8.939992,-0.013811,-0.027621
8.959992,0.013811,-0.041432
8.979992,0.013811,0.0
8.999992,0.055243,-0.055243
9.019992,0.013811,-0.013811
9.039992,0.0,0.0
9.059992,0.0,0.0
9.079992,0.041432,-0.027621
9.099992,0.041432,-0.027621
9.119992,0.027621,0.0
9.139992,0.0,-0.041432
9.159992,0.013811,-0.027621
9.179992,0.013811,0.0
9.199992,0.013811,-0.027621
9.219992,-0.013811,-0.027621
9.239992,0.013811,-0.027621
9.259992,0.041432,-0.027621
9.279992,0.013811,-0.055243
9.299992,0.013811,-0.041432
9.319992,0.013811,-0.027621
9.339992,0.027621,-0.055243
9.359992,0.0,-0.055243
9.379992,0.0,-0.027621
9.399992,0.0,-0.013811
9.419992,0.027621,-0.027621
9.439992,0.013811,-0.013811
9.459992,-0.027621,-0.013811
9.479992,0.013811,-0.041432
9.499992,0.0,-0.027621
9.519992,0.013811,-0.027621
9.539992,0.0,-0.055243
9.559992,0.0,-0.055243
9.579992,0.0,-0.055243
9.599992,0.013811,-0.041432
9.619992,0.0,-0.041432
9.639992,0.027621,-0.069053
9.659992,0.0,-0.041432
9.679992,0.027621,-0.082864
9.699992,0.041432,-0.096675
9.719992,0.013811,-0.027621
9.739992,0.027621,-0.096675
9.759992,0.013811,-0.082864
9.779992,0.0,-0.027621
9.799992,-0.013811,-0.069053
9.819992,0.027621,-0.055243
9.839992,0.041432,-0.055243
9.859992,0.0,-0.027621
9.879992,0.027621,-0.069053
9.899992,0.013811,-0.055243
9.919992,-0.013811,-0.055243
9.939992,0.0,-0.055243
9.959992,0.013811,-0.069053
9.979992,0.013811,-0.069053
9.999992,0.013811,-0.041432
10.019992,-0.013811,-0.082864
10.039992,0.027621,-0.082864
10.059992,0.027621,-0.055243
10.079992,0.0,-0.082864
10.099992,-0.013811,-0.082864
10.119992,0.013811,-0.055243
10.139992,0.027621,-0.096675
10.159992,0.013811,-0.041432
10.179992,-0.027621,-0.055243
10.199992,0.013811,-0.055243
10.219992,-0.013811,-0.055243
10.239992,0.0,-0.082864
10.259992,0.0,-0.055243
10.279992,-0.013811,-0.055243
10.299992,0.013811,-0.096675
10.319992,0.0,-0.055243
10.339992,0.0,-0.082864
10.359992,-0.013811,-0.069053
10.379992,0.0,-0.055243
10.399992,0.0,-0.041432
10.419992,-0.069053,-0.110486
10.439992,0.013811,-0.096675
10.459992,0.0,-0.027621
10.479992,-0.013811,-0.110486
10.499992,0.013811,-0.055243
10.519992,-0.013811,-0.055243
10.539992,0.013811,-0.096675
10.559992,0.0,-0.055243
10.579992,0.0,-0.041432
10.599992,0.0,-0.082864
10.619992,-0.013811,-0.082864
10.639992,0.0,-0.069053
10.659992,-0.013811,-0.069053
10.679992,0.0,-0.082864
10.700092,0.027621,-0.082864
10.719992,-0.013811,-0.082864
10.739992,-0.013811,-0.110486
10.759992,-0.041432,-0.069053
10.779992,0.0,-0.069053
