time,MB,MC,MD,ME
4.488459,-0.013811,0.055243,0.80102,1.28439
4.508459,-0.013811,0.082864,0.80102,1.28439
4.528459,0.013811,0.055243,0.787209,1.2982
4.548459,0.0,0.082864,0.80102,1.2982
4.568459,0.0,0.069053,0.80102,1.28439
4.588459,0.0,0.082864,0.80102,1.2982
4.608459,-0.027621,0.055243,0.81483,1.27058
4.628459,0.0,0.069053,0.787209,1.2982
4.648459,-0.013811,0.069053,0.80102,1.2982
4.668459,0.0,0.069053,0.80102,1.2982
4.688459,-0.013811,0.069053,0.787209,1.28439
4.708459,0.013811,0.082864,0.787209,1.2982
4.728459,0.0,0.055243,0.81483,1.28439
4.748459,-0.013811,0.069053,0.80102,1.2982
4.768459,0.0,0.055243,0.80102,1.2982
4.788459,0.0,0.069053,0.828641,1.28439
4.808459,0.013811,0.069053,0.80102,1.28439
4.828559,0.0,0.082864,0.787209,1.2982
4.848459,0.0,0.069053,0.80102,1.28439
4.868459,0.0,0.082864,0.81483,1.27058
4.888459,0.0,0.069053,0.81483,1.2982
4.908459,-0.013811,0.069053,0.773398,1.28439
4.928459,0.013811,0.082864,0.787209,1.31201
4.948459,0.013811,0.055243,0.773398,1.27058
4.968459,0.0,0.069053,0.80102,1.28439
4.988459,-0.013811,0.069053,0.80102,1.27058
5.008459,0.0,0.082864,0.787209,1.2982
5.028459,-0.013811,0.082864,0.80102,1.28439
5.048459,0.0,0.055243,0.80102,1.28439
5.068459,0.0,0.069053,0.773398,1.2982
5.088459,0.0,0.069053,0.80102,1.27058
5.108459,0.0,0.069053,0.773398,1.2982
5.128459,0.0,0.055243,0.787209,1.27058
5.148459,-0.013811,0.055243,0.773398,1.28439
5.168459,-0.013811,0.041432,0.842452,1.2982
5.188459,0.0,0.069053,0.773398,1.2982
5.208559,0.013811,0.069053,0.787209,1.27058
5.228459,-0.013811,0.055243,0.80102,1.28439
5.248459,-0.013811,0.069053,0.787209,1.28439
5.268459,0.0,0.041432,0.81483,1.27058
5.288459,0.0,0.055243,0.828641,1.24296
5.308459,0.0,0.055243,0.787209,1.2982
5.328459,-0.013811,0.055243,0.81483,1.31201
5.348459,0.013811,0.055243,0.81483,1.31201
5.368459,0.0,0.069053,0.80102,1.27058
5.388459,0.0,0.069053,0.787209,1.27058
5.408559,0.013811,0.055243,0.828641,1.2982
5.428459,0.0,0.055243,0.773398,1.28439
5.448459,0.0,0.082864,0.81483,1.27058
5.468459,0.0,0.082864,0.81483,1.2982
5.488459,0.0,0.069053,0.787209,1.32583
5.508459,-0.013811,0.069053,0.80102,1.22915
5.528459,0.0,0.055243,0.842452,1.27058
5.548459,0.0,0.069053,0.81483,1.28439
5.568459,-0.013811,0.082864,0.81483,1.2982
5.588459,-0.013811,0.082864,0.773398,1.27058
5.608459,-0.013811,0.055243,0.80102,1.31201
5.628459,0.0,0.055243,0.856262,1.28439
5.648459,0.0,0.069053,0.80102,1.2982
5.668459,-0.013811,0.041432,0.773398,1.2982
5.688459,0.0,0.055243,0.828641,1.32583
