time,MA,MC,MD
5.786533,109.0832,-57.26752,18.46152
5.806533,108.5184,-56.93968,18.35432
5.826533,107.9544,-56.62704,18.27832
5.846533,107.4056,-56.30672,18.17192
5.866533,106.8256,-55.97888,18.07992
5.886533,106.284,-55.65856,17.99592
5.906533,105.72,-55.34592,17.88152
5.926533,105.1632,-55.018,17.79752
5.946533,104.5912,-54.69776,17.70632
5.966533,104.0504,-54.37752,17.61512
5.986533,103.4552,-54.0572,17.52312
6.006533,102.9216,-53.73696,17.41672
6.026533,102.3496,-53.41664,17.33272
6.046533,101.8384,-53.12688,17.24152
6.066533,101.236,-52.77616,17.13432
6.086533,100.7176,-52.47872,17.06552
6.106533,100.1,-52.128,16.94392
6.126533,99.5512,-51.80768,16.85992
6.146533,98.9792,-51.48744,16.76072
6.166533,98.4304,-51.16712,16.66952
6.186533,97.8656,-50.85448,16.58552
6.206533,97.3088,-50.53424,16.47112
6.226533,96.7448,-50.20632,16.38712
6.246533,96.1808,-49.89368,16.28792
6.266533,95.6312,-49.56576,16.19672
6.286533,95.06,-49.24552,16.11272
6.306533,94.4952,-48.93288,15.99832
6.326533,93.9312,-48.604976,15.91432
6.346533,93.3744,-48.284704,15.80792
6.366533,92.8104,-47.96444,15.72392
6.386533,92.2536,-47.644168,15.63192
6.406533,91.6816,-47.323896,15.51752
6.426533,91.1248,-47.003624,15.44152
6.446533,90.5456,-46.683352,15.34232
6.466533,90.004,-46.36308,15.24312
6.486533,89.424,-46.042808,15.15912
6.506533,88.86,-45.714912,15.05272
6.526533,88.3032,-45.39464,14.96152
6.546533,87.7312,-45.081992,14.86232
6.566533,87.1752,-44.76172,14.77032
6.586533,86.6104,-44.433824,14.68632
6.606533,86.0464,-44.121184,14.57272
6.626533,85.4824,-43.79328,14.48872
6.646533,84.9176,-43.473016,14.38952
6.666533,84.3608,-43.152744,14.29752
6.686533,83.7968,-42.832472,14.21432
6.706533,83.2328,-42.5122,14.09992
6.726533,82.668,-42.191928,14.01592
6.746533,82.104,-41.871656,13.91672
6.766533,81.54,-41.551384,13.81752
6.786533,80.9832,-41.238738,13.73352
6.806533,80.4112,-40.910842,13.62712
6.826533,79.8464,-40.598196,13.54312
6.846533,79.2904,-40.293176,13.44392
6.866533,78.7184,-39.957654,13.34472
6.886533,78.1616,-39.645008,13.26072
6.906533,77.5976,-39.324736,13.15432
6.926533,77.0256,-38.99684,13.06232
6.946533,76.4688,-38.684192,12.96312
6.966533,75.904,-38.36392,12.87192
6.986533,75.34,-38.036024,12.78792
7.006533,74.776,-37.723376,12.67352
7.026533,74.2112,-37.403112,12.58952
7.046533,73.6472,-37.075208,12.49832
7.066533,73.0832,-36.754944,12.39112
7.086533,72.5184,-36.434672,12.31512
7.106533,71.9616,-36.1144,12.20072
7.126533,71.3976,-35.794128,12.10952
