time,MA,MC,MD
4.666533,5.84192,-0.013811,1.367261
4.686533,5.8143,-0.013811,1.367261
4.706533,5.78667,-0.013811,1.367261
4.726533,5.80049,0.0,1.339641
4.746533,5.8143,0.0,1.381071
4.766533,5.82811,-0.013811,1.381071
4.786533,5.8143,0.0,1.381071
4.806533,5.82811,0.0,1.367261
4.826533,5.8143,-0.013811,1.381071
4.846533,5.80049,0.0,1.381071
4.866533,5.78667,0.0,1.367261
4.886533,5.80049,-0.013811,1.367261
4.906533,5.78667,-0.013811,1.381071
4.926533,5.80049,0.0,1.367261
4.946533,5.80049,-0.013811,1.353451
4.966533,5.77286,-0.013811,1.381071
4.986533,5.78667,0.0,1.381071
5.006533,5.80049,-0.013811,1.367261
5.026533,5.77286,-0.013811,1.381071
5.046533,5.8143,0.0,1.353451
5.066533,5.78667,-0.013811,1.381071
5.086533,5.75905,-0.013811,1.381071
5.106533,5.75905,-0.013811,1.381071
5.126533,5.77286,-0.013811,1.367261
5.146533,5.77286,0.0,1.381071
5.166533,5.71762,0.0,1.367261
5.186533,5.74524,-0.013811,1.381071
5.206533,5.80049,-0.013811,1.353451
5.226533,5.75905,-0.013811,1.367261
5.246533,5.75905,-0.027621,1.353451
5.266533,5.71762,-0.013811,1.367261
5.286533,5.70381,-0.013811,1.367261
5.306533,5.73143,-0.013811,1.367261
5.326533,5.74524,0.0,1.367261
5.346533,5.70381,-0.013811,1.367261
5.366533,5.74524,0.0,1.367261
5.386533,5.74524,-0.013811,1.367261
5.406533,5.73143,-0.013811,1.353451
5.426533,5.74524,-0.013811,1.367261
5.446533,5.71762,-0.013811,1.353451
5.466533,5.73143,0.0,1.367261
5.486533,3.4941,0.276214,1.00818
5.506533,1.5468,-0.234782,0.690534
5.526533,1.0358,0.234782,0.428131
5.546533,0.925316,-0.013811,0.345267
5.566533,0.911505,0.069053,0.40051
5.586533,0.718155,0.082864,0.331457
5.606533,0.994369,0.0,0.303835
5.626533,0.773398,0.096675,0.290025
5.646533,0.856262,0.041432,0.303835
5.666533,0.731966,0.055243,0.262403
5.686533,0.773398,0.096675,0.207161
5.706533,0.718155,0.0,0.290025
5.726533,0.801019,0.055243,0.207161
5.746533,0.662913,0.041432,0.248593
5.766533,0.635291,0.0,0.165728
5.786533,0.593859,0.055243,0.19335
5.806533,0.566238,0.013811,0.234782
5.826533,0.593859,0.041432,0.19335
5.846533,0.580049,0.055243,0.19335
5.866533,0.566238,0.0,0.19335
5.886533,0.524806,0.041432,0.151918
5.906533,0.497184,0.041432,0.207161
5.926533,0.483374,0.0,0.151918
5.946533,0.510995,0.055243,0.165728
5.966533,0.483374,0.055243,0.138107
5.986533,0.538616,0.013811,0.124296
6.006533,0.41432,0.055243,0.19335
6.026533,0.483374,0.069053,0.138107
6.046533,0.441942,0.027621,0.165728
6.066533,0.441942,0.069053,0.179539
6.086533,0.428131,0.041432,0.110486
6.106533,0.40051,0.013811,0.138107
6.126533,0.386699,0.055243,0.096675
6.146533,0.386699,0.041432,0.151918
6.166533,0.303835,0.041432,0.124296
6.186533,0.359078,0.041432,0.069053
6.206533,0.303835,0.041432,0.110486
6.226533,0.262403,0.013811,0.096675
6.246533,0.303835,0.069053,0.124296
6.266533,0.234782,0.055243,0.138107
6.286533,0.317646,0.013811,0.069053
6.306533,0.276214,0.055243,0.138107
6.326533,0.234782,0.055243,0.069053
6.346533,0.262403,0.041432,0.124296
6.366533,0.262403,0.055243,0.069053
6.386533,0.20716,0.041432,0.069053
6.406533,0.262403,0.013811,0.124296
6.426533,0.20716,0.069053,0.055243
6.446533,0.248592,0.013811,0.082864
6.466533,0.19335,0.041432,0.069053
6.486533,0.20716,0.055243,0.041432
6.506533,0.220971,0.013811,0.069053
6.526533,0.220971,0.013811,0.055243
6.546533,0.19335,0.069053,0.041432
6.566533,0.20716,0.055243,0.069053
6.586533,0.19335,0.041432,0.027621
6.606533,0.138107,0.069053,0.082864
6.626533,0.248592,0.027621,0.055243
6.646533,0.165728,0.069053,0.055243
6.666533,0.179539,0.055243,0.069053
6.686533,0.151917,0.027621,0.027621
6.706533,0.124296,0.027621,0.082864
6.726533,0.179539,0.082864,0.041432
6.746533,0.165728,0.041432,0.096675
6.766533,0.138107,0.041432,0.041432
6.786533,0.138107,0.069053,0.027621
6.806533,0.179539,0.013811,0.110486
6.826533,0.138107,0.041432,0.055243
6.846533,0.165728,0.124296,0.069053
6.866533,0.138107,0.0,0.055243
6.886533,0.138107,0.055243,0.013811
6.906533,0.124296,0.027621,0.069053
6.926533,0.151917,0.013811,0.041432
6.946533,0.151917,0.069053,0.055243
6.966533,0.151917,0.013811,0.027621
6.986533,0.151917,0.027621,0.013811
7.006533,0.124296,0.055243,0.069053
7.026533,0.110485,0.027621,0.013811
7.046533,0.055243,0.027621,0.041432
7.066533,0.165728,0.041432,0.069053
7.086533,0.096675,0.041432,-0.013811
7.106533,0.096675,0.041432,0.055243
7.126533,0.110485,0.055243,0.041432
7.146533,0.082864,0.013811,0.027621
7.166533,0.096675,0.041432,0.013811
7.186533,0.110485,0.055243,-0.013811
7.206533,0.069053,-0.041432,0.096675
7.226533,0.124296,0.055243,0.0
7.246533,0.069053,0.041432,0.013811
7.266533,0.055243,0.0,0.0
7.286533,0.124296,0.055243,-0.013811
7.306533,0.041432,0.041432,0.041432
7.326533,0.096675,0.013811,0.0
7.346533,0.096675,0.069053,0.013811
7.366533,0.069053,0.041432,-0.013811
7.386533,0.124296,0.027621,-0.027621
7.406533,0.069053,0.041432,0.055243
7.426533,0.055243,0.069053,0.013811
7.446533,0.096675,0.027621,0.013811
7.466533,0.027621,0.013811,0.013811
7.486533,0.055243,0.082864,-0.041432
7.506533,0.096675,0.027621,0.013811
7.526533,0.027621,0.041432,-0.013811
7.546533,0.055243,0.069053,0.027621
7.566533,0.041432,0.013811,0.027621
7.586533,0.013811,0.069053,-0.041432
7.606533,0.055243,0.055243,0.027621
7.626533,0.013811,0.0,0.041432
7.646533,0.027621,0.069053,0.0
7.666533,0.069053,0.027621,0.013811
7.686533,0.0,0.027621,-0.055243
7.706533,0.013811,0.041432,0.027621
7.726533,0.041432,0.041432,-0.027621
7.746533,0.0,0.041432,0.041432
7.766533,0.069053,0.055243,0.013811
7.786533,0.041432,0.041432,-0.041432
7.806533,0.013811,0.027621,0.0
7.826533,0.041432,0.096675,-0.013811
7.846533,0.0,0.055243,0.0
7.866533,0.013811,0.055243,0.027621
7.886533,0.027621,0.055243,-0.027621
7.906533,-0.013811,0.041432,0.013811
7.926533,0.041432,0.069053,-0.013811
7.946533,0.055243,0.041432,0.013811
7.966533,-0.027621,0.041432,0.027621
7.986533,0.027621,0.069053,-0.041432
8.006533,0.0,0.027621,-0.027621
8.026533,-0.013811,0.027621,-0.027621
8.046533,0.027621,0.082864,0.0
8.066533,-0.013811,0.027621,0.0
8.086533,0.013811,0.055243,-0.013811
8.106533,0.0,0.069053,0.013811
8.126533,-0.013811,0.0,0.013811
8.146533,0.041432,0.041432,-0.013811
8.166533,-0.013811,0.069053,0.0
8.186533,-0.013811,0.041432,-0.055243
8.206533,-0.013811,0.082864,0.013811
8.226533,-0.013811,0.082864,-0.027621
8.246533,0.0,0.027621,0.0
8.266533,0.0,0.069053,0.0
8.286533,0.0,0.082864,-0.027621
8.306533,-0.013811,0.055243,0.013811
8.326533,-0.013811,0.069053,-0.027621
8.346533,-0.069053,0.082864,-0.027621
8.366533,0.027621,0.041432,-0.013811
8.386533,-0.013811,0.082864,-0.055243
8.406533,-0.013811,0.069053,0.055243
8.426533,0.013811,0.055243,-0.082864
8.446533,-0.055243,0.110485,0.013811
8.466533,-0.041432,0.069053,-0.013811
8.486533,0.041432,0.055243,-0.041432
8.506533,-0.055243,0.096675,0.027621
8.526533,0.027621,0.069053,0.0
8.546533,-0.027621,0.082864,-0.013811
8.566533,-0.055243,0.096675,0.013811
8.586533,0.013811,0.069053,-0.055243
8.606533,-0.055243,0.041432,0.013811
8.626533,0.013811,0.096675,0.013811
8.646533,-0.055243,0.096675,-0.027621
8.666533,-0.055243,0.082864,0.0
8.686533,0.0,0.110485,-0.041432
8.706533,0.027621,0.096675,0.027621
8.726533,-0.041432,0.096675,-0.027621
8.746533,-0.055243,0.138107,0.0
8.766533,0.0,0.096675,0.0
8.786533,0.0,0.082864,-0.082864
8.806533,0.027621,0.138107,0.055243
8.826533,-0.055243,0.096675,-0.041432
8.846533,-0.013811,0.124296,0.0
8.866533,0.0,0.165728,-0.013811
8.886533,-0.055243,0.110485,-0.013811
8.906533,-0.013811,0.165728,0.013811
8.926533,-0.013811,0.165728,-0.013811
8.946533,-0.069053,0.124296,-0.013811
8.966533,0.0,0.179539,0.013811
8.986533,-0.041432,0.19335,-0.055243
9.006533,-0.069053,0.165728,0.027621
9.026533,-0.013811,0.19335,-0.013811
9.046533,-0.069053,0.234782,0.013811
9.066533,-0.041432,0.220971,-0.013811
9.086533,-0.041432,0.220971,-0.041432
9.106533,-0.082864,0.262403,0.041432
9.126533,0.013811,0.290024,-0.013811
9.146533,-0.013811,0.276214,0.013811
9.166533,-0.069053,0.317646,0.027621
9.186533,-0.041432,0.372888,-0.027621
9.206533,-0.041432,0.372888,0.0
9.226533,-0.027621,0.372888,-0.013811
9.246533,0.0,0.386699,0.013811
9.266533,-0.055243,0.469563,0.0
9.286533,0.0,0.455752,-0.055243
9.306533,-0.041432,0.441942,0.0
9.326533,-0.041432,0.469563,-0.027621
9.346533,0.013811,0.510995,0.013811
9.366533,-0.055243,0.510995,0.013811
9.386533,-0.069053,0.524806,-0.069053
9.406533,0.0,0.580049,0.013811
9.426533,-0.069053,0.593859,-0.013811
9.446533,-0.027621,0.580049,0.0
9.466533,0.0,0.690534,0.013811
9.486533,0.40051,0.303835,0.082864
9.506533,-0.428131,0.345267,0.027621
9.526533,0.331456,0.345267,-0.027621
9.546533,-0.20716,0.345267,0.0
9.566533,0.082864,0.359078,-0.013811
9.586533,-0.027621,0.359078,0.0
9.606533,-0.027621,0.331456,0.013811
9.626533,-0.013811,0.345267,0.0
9.646533,0.013811,0.331456,0.0
9.666533,-0.027621,0.345267,0.0
9.686533,-0.013811,0.345267,0.0
9.706533,0.0,0.345267,0.027621
9.726533,0.0,0.359078,0.0
9.746533,0.0,0.345267,0.013811
9.766533,-0.013811,0.372888,0.013811
9.786533,-0.027621,0.345267,-0.013811
9.806533,0.013811,0.359078,-0.013811
9.826533,-0.013811,0.359078,-0.013811
9.846533,-0.013811,0.331456,0.027621
9.866533,-0.013811,0.359078,0.013811
9.886533,-0.027621,0.345267,0.0
9.906533,0.0,0.345267,0.027621
9.926533,0.0,0.359078,0.0
9.946533,0.0,0.345267,0.013811
9.966533,-0.013811,0.372888,0.0
9.986533,0.013811,0.359078,0.0
